"Date","Price","Volume"
"2024-09-24 16:58:00 UTC+0","63302.39585817","12699442051.425797"
"2024-09-24 16:57:00 UTC+0","63320.10403228","12697335261.366657"
"2024-09-24 16:56:00 UTC+0","63341.80898606","12671551245.270012"
"2024-09-24 16:55:00 UTC+0","63330.95829896","12697135172.312933"
"2024-09-24 16:54:00 UTC+0","63209.29113455","12695511934.090866"
"2024-09-24 16:53:00 UTC+0","63206.77670370","12586319772.783766"
"2024-09-24 16:52:00 UTC+0","63187.75775228","12586763294.829325"
"2024-09-24 16:51:00 UTC+0","63197.28410547","12589761537.801237"
"2024-09-24 16:50:00 UTC+0","63213.31076517","12714571280.800816"
"2024-09-24 16:49:00 UTC+0","63191.57654015","12704540638.825190"
"2024-09-24 16:48:00 UTC+0","63193.16075419","12697189874.693794"
"2024-09-24 16:47:00 UTC+0","63208.95095173","12696622218.408154"
"2024-09-24 16:46:00 UTC+0","63183.95494792","12714571280.800816"
"2024-09-24 16:45:00 UTC+0","63182.32462867","12714597275.691864"
"2024-09-24 16:44:00 UTC+0","63158.15229388","12715350798.450916"
"2024-09-24 16:43:00 UTC+0","63166.06495589","12716693258.423624"
"2024-09-24 16:42:00 UTC+0","63164.09134955","12716213510.174042"
"2024-09-24 16:41:00 UTC+0","63161.71069233","12713815677.784456"
"2024-09-24 16:40:00 UTC+0","63153.80584125","12714968240.303234"
"2024-09-24 16:39:00 UTC+0","63143.95815984","12718445245.670963"
"2024-09-24 16:38:00 UTC+0","63148.91241484","12717803393.534105"
"2024-09-24 16:37:00 UTC+0","63158.94838416","12715365858.433828"
"2024-09-24 16:36:00 UTC+0","63155.97918784","12713493043.438282"
"2024-09-24 16:35:00 UTC+0","63142.58891106","12598830561.478436"
"2024-09-24 16:34:00 UTC+0","63132.02129176","12597661635.890142"
"2024-09-24 16:33:00 UTC+0","63118.40530722","12596387481.386305"
"2024-09-24 16:32:00 UTC+0","63100.36662223","12599630477.366718"
"2024-09-24 16:31:00 UTC+0","63097.76864623","12750871263.112957"
"2024-09-24 16:30:00 UTC+0","63119.61586333","12745885403.730204"
"2024-09-24 16:29:00 UTC+0","63122.40492723","12773837267.535147"
"2024-09-24 16:28:00 UTC+0","63084.17166930","12675378563.921755"
"2024-09-24 16:27:00 UTC+0","63176.51955474","12686176022.119541"
"2024-09-24 16:26:00 UTC+0","63197.91140540","12691005172.295690"
"2024-09-24 16:25:00 UTC+0","63227.04883473","12802451031.039167"
"2024-09-24 16:24:00 UTC+0","63255.45837833","12706820889.029247"
"2024-09-24 16:23:00 UTC+0","63268.25853881","12891280941.929941"
"2024-09-24 16:22:00 UTC+0","63295.12469607","12887876278.732975"
"2024-09-24 16:21:00 UTC+0","63293.83423298","12775475790.818710"
"2024-09-24 16:20:00 UTC+0","63247.90314176","12777767608.319525"
"2024-09-24 16:19:00 UTC+0","63225.76630002","12782217364.463917"
"2024-09-24 16:18:00 UTC+0","63229.32095165","12785769570.442970"
"2024-09-24 16:17:00 UTC+0","63248.56212194","12782843298.287382"
"2024-09-24 16:16:00 UTC+0","63257.33406971","12918628562.550110"
"2024-09-24 16:15:00 UTC+0","63226.21754126","12921973355.686077"
"2024-09-24 16:14:00 UTC+0","63233.66156497","12923740573.936386"
"2024-09-24 16:13:00 UTC+0","63224.27220217","12924154507.006810"
"2024-09-24 16:12:00 UTC+0","63232.07957746","12934146491.105001"
"2024-09-24 16:11:00 UTC+0","63202.14346401","12940088764.591274"
"2024-09-24 16:10:00 UTC+0","63255.16658028","12945892108.557974"
"2024-09-24 16:09:00 UTC+0","63266.44229222","12945892108.557974"
"2024-09-24 16:08:00 UTC+0","63284.38333212","12956103617.301142"
"2024-09-24 16:07:00 UTC+0","63290.08872493","12957773923.103807"
